title,uri,text,html
"3 People, 3 Questions: Fall 2023 | Carlson School",https://carlsonschool.umn.edu/news/3-people-3-questions-fall-2023,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.5em;""><em>Current MHRIR student</em></p>"
"3 People, 3 Questions: Fall 2023 | Carlson School",https://carlsonschool.umn.edu/news/3-people-3-questions-fall-2023,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.5em;""><em>'23 BSB</em></p>"
"3 People, 3 Questions: Fall 2023 | Carlson School",https://carlsonschool.umn.edu/news/3-people-3-questions-fall-2023,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.5em;""><em>Lecturer, Strategic Management &amp; Entrepreneurship</em></p>"
"Apply | Carlson School of Management",https://carlsonschool.umn.edu/mn-cup/current-season/apply,,"<p class=""text-align-center"" style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Applications Open March 10 - April 11</p>"
"Fall 2017: 3 People 3 Questions",https://carlsonschool.umn.edu/news/3-people-3-questions-3,,"<p style=""font-size:2.8rem;"">Khalid Hammami, '18 BSB</p>"
"3 People, 3 Questions: Spring 2023 Carlson School",https://carlsonschool.umn.edu/news/3-people-3-questions-spring-2023,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.5em;""><em>'24 BSB</em></p>"
"3 People, 3 Questions: Spring 2023 Carlson School",https://carlsonschool.umn.edu/news/3-people-3-questions-spring-2023,,"<p style=""font-family:'Open Sans', sans-serif;font-size:1.5em;""><em>'22 MKTG, Channel Marketing Associate, Cambria</em></p>"
"Faculty in 5: Carlos Torelli | Carlson School of Management",https://carlsonschool.umn.edu/news/faculty-in-5-carlos-torelli,,"<p style=""font-size:2.8rem;"">Q: What is your favorite class to teach?</p>"
"PhD Newsletter | Carlson School",https://carlsonschool.umn.edu/graduate/phd/newsletter,,"<p class=""text-align-center"" style=""font-family:'Open Sans', sans-serif;font-size:2em;"">Like to request an edit? Or addition?&nbsp;</p>"
"Scholarships Power a Force for Good: Spring 2025",https://carlsonschool.umn.edu/news/scholarships-power-force-good-spring-2025,,"<p style=""font-family:'Open Sans', sans-serif;font-size:2em;"">&nbsp;</p>"
"MILI Valuation Lab: Carlson School Lab Influences Med Tech",https://carlsonschool.umn.edu/news/mili-valuation-lab-carlson-school-lab-influences-med-tech,,"<p>I went all in on the MILI Valuation Lab.&nbsp;</p>"
"5 Things I've Learned: Terry Collier | Carlson School of",https://carlsonschool.umn.edu/news/5-things-terry-collier,,"<p style=""font-size:2.8rem;"">1. Be honest with yourself and others.</p>"
"5 Things I've Learned: Terry Collier | Carlson School of",https://carlsonschool.umn.edu/news/5-things-terry-collier,,"<p style=""font-size:2.8rem;"">2. Be curious about the world around you.</p>"
"5 Things I've Learned: Terry Collier | Carlson School of",https://carlsonschool.umn.edu/news/5-things-terry-collier,,"<p style=""font-size:2.8rem;"">3. Don&rsquo;t forget to have fun.</p>"
