phase,iteration,route,url,http_code,ttfb,total,size_download,effective_url
"warm_same_url",4,"/graduate/resources/find-degree","https://carlsonschool.ddev.site/graduate/resources/find-degree",200,0.020765,0.026057,349989,https://carlsonschool.ddev.site/graduate/resources/find-degree
"warm_same_url",4,"/conferences/convene/convene-conference-schedule/Payment_Reimbursement","https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement",200,0.019476,0.024275,290415,https://carlsonschool.ddev.site/conferences/convene/convene-conference-schedule/Payment_Reimbursement
"warm_same_url",5,"/","https://carlsonschool.ddev.site/",200,0.020691,0.026027,331756,https://carlsonschool.ddev.site/
"warm_same_url",5,"/executive-education/courses","https://carlsonschool.ddev.site/executive-education/courses",200,0.020559,0.025632,340244,https://carlsonschool.ddev.site/executive-education/courses
"warm_same_url",5,"/graduate/mba/full-time","https://carlsonschool.ddev.site/graduate/mba/full-time",200,0.030633,0.038384,428277,https://carlsonschool.ddev.site/graduate/mba/full-time
"warm_same_url",5,"/graduate","https://carlsonschool.ddev.site/graduate",200,0.020531,0.027988,405550,https://carlsonschool.ddev.site/graduate
"warm_same_url",5,"/news","https://carlsonschool.ddev.site/news",200,0.182793,0.187887,311392,https://carlsonschool.ddev.site/news
"warm_same_url",5,"/faculty-research/directory-tenured-tenure-track","https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track",200,0.022182,0.029088,322568,https://carlsonschool.ddev.site/faculty-research/directory-tenured-tenure-track
"warm_same_url",5,"/alumni/events","https://carlsonschool.ddev.site/alumni/events",200,0.021726,0.027533,320894,https://carlsonschool.ddev.site/alumni/events
"warm_same_url",5,"/executive-education","https://carlsonschool.ddev.site/executive-education",200,0.022735,0.028937,320251,https://carlsonschool.ddev.site/executive-education
"warm_same_url",5,"/executive-education/courses/emerging-leaders-bootcamp","https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp",200,0.021745,0.028208,362877,https://carlsonschool.ddev.site/executive-education/courses/emerging-leaders-bootcamp
"warm_same_url",5,"/graduate/resources/what-value-mba-or-masters-degree","https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree",200,0.021178,0.026904,327655,https://carlsonschool.ddev.site/graduate/resources/what-value-mba-or-masters-degree
"warm_same_url",5,"/about","https://carlsonschool.ddev.site/about",200,0.020564,0.025933,325662,https://carlsonschool.ddev.site/about
